1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
time ;x;y;z;dxr;dyr;dzr;dxrT;dyrT;dzrT;dxrUn;dyrUn;dzrUn;timeTe;xTe;
10,325;-3,89984;0,0229728;0,101896;0,00118483;-0,116578;0,00423246;-0,00164414;-0,116647;0,000675779;-0,00164414;-0,183954;-0,332079;;;
10,335;-3,89984;0,0229728;0,101896;0,00118483;-0,116578;0,00423246;-0,00164414;-0,116647;0,000675779;-0,00164414;-0,183954;-0,332079;;;
10,3451;-3,89984;0,0229728;0,101896;0,00118483;-0,116578;0,00423246;-0,00164414;-0,116647;0,000675779;-0,00164414;-0,183954;-0,332079;;;
10,355;-3,89984;0,0229728;0,101896;0,00118483;-0,116578;0,00423246;-0,00164414;-0,116647;0,000675779;-0,00164414;-0,183954;-0,332079;;;
10,3608;-3,89714;0,0139634;0,0959389;-0,000335413;-0,143559;-0,0112277;-0,0038712;-0,143093;-0,0156515;-0,0038712;-0,143093;-0,0156515;;;
10,3649;-3,89714;0,0139634;0,0959389;-0,000335413;-0,143559;-0,0112277;-0,0038712;-0,143093;-0,0156515;-0,0038712;-0,143093;-0,0156515;;;
10,375;-3,89714;0,0139634;0,0959389;-0,000335413;-0,143559;-0,0112277;-0,0038712;-0,143093;-0,0156515;-0,0038712;-0,143093;-0,0156515;;;
10,385;-3,89714;0,0139634;0,0959389;-0,000335413;-0,143559;-0,0112277;-0,0038712;-0,143093;-0,0156515;-0,0038712;-0,143093;-0,0156515;;;
10,3877;-3,89698;0,0139634;0,0959389;0,0484127;-0,140201;0,0592925;0,0456768;-0,143093;0,0543485;0,0456768;-0,143093;0,0627273;;;
10,3951;-3,89698;0,0139634;0,0959389;0,0484127;-0,140201;0,0592925;0,0456768;-0,143093;0,0543485;0,0456768;-0,143093;0,0627273;;;
10,4051;-3,89698;0,0139634;0,0959389;0,0484127;-0,140201;0,0592925;0,0456768;-0,143093;0,0543485;0,0456768;-0,143093;0,0627273;;;
10,415;-3,89698;0,0139634;0,0959389;0,0484127;-0,140201;0,0592925;0,0456768;-0,143093;0,0543485;0,0456768;-0,143093;0,0627273;;;
10,425;-3,89698;0,0139634;0,0959389;0,0484127;-0,140201;0,0592925;0,0456768;-0,143093;0,0543485;0,0456768;-0,143093;0,0627273;;;
10,4273;-3,89621;0,00809672;0,0989169;-0,00146913;-0,139603;0,114958;-0,0038712;-0,143093;0,110526;-0,0038712;-0,143093;0,110526;;;
10,435;-3,89621;0,00809672;0,0989169;-0,00146913;-0,139603;0,114958;-0,0038712;-0,143093;0,110526;-0,0038712;-0,143093;0,110526;;;
10,445;-3,89621;0,00809672;0,0989169;-0,00146913;-0,139603;0,114958;-0,0038712;-0,143093;0,110526;-0,0038712;-0,143093;0,110526;;;
10,4529;-3,89591;0,0132655;0,114604;0,0463798;-0,0683328;0,113245;0,0456768;-0,0730927;0,110526;0,0456768;0,2268;0,110526;;;
10,455;-3,89591;0,0132655;0,114604;0,0463798;-0,0683328;0,113245;0,0456768;-0,0730927;0,110526;0,0456768;0,2268;0,110526;;;
10,465;-3,89591;0,0132655;0,114604;0,0463798;-0,0683328;0,113245;0,0456768;-0,0730927;0,110526;0,0456768;0,2268;0,110526;;;
10,475;-3,89591;0,0132655;0,114604;0,0463798;-0,0683328;0,113245;0,0456768;-0,0730927;0,110526;0,0456768;0,2268;0,110526;;;
10,485;-3,89591;0,0132655;0,114604;0,0463798;-0,0683328;0,113245;0,0456768;-0,0730927;0,110526;0,0456768;0,2268;0,110526;;;
10,4894;-3,89388;0,0132655;0,115722;0,0255595;0,00297844;0,16795;0,0272116;-0,00309271;0,167688;0,0272116;0,126761;0,167688;;;
10,495;-3,89388;0,0132655;0,115722;0,0255595;0,00297844;0,16795;0,0272116;-0,00309271;0,167688;0,0272116;0,126761;0,167688;;;
10,505;-3,89388;0,0132655;0,115722;0,0255595;0,00297844;0,16795;0,0272116;-0,00309271;0,167688;0,0272116;0,126761;0,167688;;;
10,515;-3,89388;0,0132655;0,115722;0,0255595;0,00297844;0,16795;0,0272116;-0,00309271;0,167688;0,0272116;0,126761;0,167688;;;
10,5201;-3,89289;0,0178919;0,121842;0,0590703;0,0737888;0,159157;0,0627606;0,0669073;0,160778;0,0627606;0,126761;0,160778;;;
10,525;-3,89289;0,0178919;0,121842;0,0590703;0,0737888;0,159157;0,0627606;0,0669073;0,160778;0,0627606;0,126761;0,160778;;;
